"Feature","Gain","Cover","Frequency"
"month_rbf_2",0.000480513643219803,0.00160961547209021,0.00323916382822414
"wday_rbf_5",0.000462256765312462,0.00217495905276474,0.00252272271907616
"wday_rbf_3",0.00044779766991113,0.00233504561519863,0.00228593286096792
"month_rbf_4",0.000421989860240689,0.00175107691587328,0.00340309526845291
"lag_t49",0.000420221450324593,0.00150022932009575,0.00363381359173786
"lag_t35",0.000415161619269845,0.0017504070792423,0.00350023982562552
"month_c1",0.000413447425268592,0.00183911370289696,0.0029538016915296
"wday_rbf_4",0.000408741940670811,0.0029946053173254,0.00138430993970966
"month_rbf_10",0.000405098912368082,0.00163755168594266,0.00355184787162347
"wday_c1",0.000401309782453865,0.00211828428522644,0.00196717728274531
"month_rbf_9",0.000395703454016957,0.00186123880945241,0.00337273759433647
"month_rbf_8",0.000393865015041222,0.00142406877314252,0.00314201927105153
"lag_t42",0.000382540439531567,0.00287191808879844,0.0035123828952721
"wday_c3",0.000379344825122926,0.00137512165093391,0.00243772123155012
"month_rbf_6",0.00036904260983733,0.0015216533553795,0.00319666308446112
"wday_rbf_2",0.000354842260047904,0.00142535256568008,0.00264415341554191
"weekend",0.000342229930766953,0.00117408598647981,0.000919837525728129
"month_rbf_5",0.000329817051707043,0.00115159265279279,0.00262593881107205
"cultural_value",0.000324427521855837,0.00464636852077331,0.00121127119724595
"month_rbf_7",0.00031971056320063,0.00145937074972949,0.00265326071777685
"month_rbf_12",0.00031247671260695,0.00173095399859187,0.00288397904106179
"month_rbf_3",0.00030222417392417,0.00136268855578445,0.0028779075062385
"month_s1",0.000293022201066627,0.0011487900758504,0.00277469141424261
"wday_rbf_7",0.000285672796077258,0.00188902592669957,0.0018427108188679
"year",0.000269237057582962,0.00227081792110215,0.00228896862837957
"month_rbf_11",0.000261354672352273,0.000954118957483486,0.00249236504495972
"wday_s3",0.000237756317342531,0.00141720935321648,0.00213110872297408
"wday_c2",0.000235181186347317,0.000925734233712001,0.0020703933747412
"quart",0.000189354116697762,0.000799158292415877,0.00217057369932545
"week_events",0.000178754736955507,0.000948365439055308,0.0017182443549905
"month_quarter",0.000169272710017566,0.000508514592097693,0.0015664559844083
"Up25",0.000165696325282316,0.00201847569896221,0.00210378681626928
"month_c2",0.000161471019407915,0.000660929389926301,0.00122645003430417
"week_month",0.00015769479092993,0.00123500158855722,0.00163324286746447
"religious_value",0.00015700227777968,0.000977242352438703,0.00166056477416926
"rolling_min_lag28_t7",0.000156214135798096,0.00121997504214579,0.00134484496335829
"month_c3",0.000155181891474528,0.000451257347314165,0.00137823840488637
"event_type_1",0.000146162462199481,0.00196956054345622,0.000710369574324694
"national_event",0.000136586946900867,0.00136895427351625,0.000537330831860986
"month_s3",0.000117115274356835,0.00041734750842474,0.00124770040618568
"national_value",0.00011650056209804,0.000681874412712193,0.000931980595374705
"snap",0.000108554681683543,0.00360462492711122,0.00069215496985483
"month_s2",0.000103923941589724,0.000446988938443791,0.000992695943607584
"snap_TX",9.80400153046915e-05,0.000777228402364901,0.000846979107848673
"has_event_lead_t1",9.44791745942276e-05,0.000959094294120695,0.000640546923856882
"rolling_min_lag7_t30",8.56454503394787e-05,0.000447415242485441,0.00058590311044729
"Mean",8.16238916955817e-05,0.000892748744971272,0.000971445571726077
"has_event",7.77378633830825e-05,0.000385146057970114,0.000516080459979478
"rolling_min_lag28_t30",6.59608513951741e-05,0.000581081691244775,0.000519116227391122
"has_event_lead_t2",6.45424675696651e-05,0.000710741077229103,0.000625368086798662
"snap_CA",5.7746010174955e-05,0.000355112486797697,0.000591974645270578
"snap_WI",5.55039384435627e-05,0.000440511166784006,0.000482687018451394
"Median",5.51313543189887e-05,0.000721713952925085,0.000701262272089762
"type_2",4.02645575210656e-05,0.00014662858063593,0.000455365111746598
"semester",3.9667271918895e-05,0.00015953507580875,0.000412864367983583
"sporting_value",3.93117542474973e-05,0.000322432267865842,0.000431078972453446
"type_1",3.46532925863501e-05,0.000138793566228774,0.000394649763513719
"has_event_lead_t3",2.95461654431496e-05,0.000116689445447553,0.000318755578222619
